Area of usual residence – Code,Area of usual residence – Name,Area of usual residence – Geography,Number of live births – Total,Number of live births – Male,Number of live births – Female,Live births - within marriage or civil partnership,Live births - outside marriage or civil partnership,Live births - joint registrations same address,Live births - joint registrations different address,Live births - sole registrations,"Crude Birth Rate (CBR): - all births per 1,000 population of all ages","General Fertility Rate (GFR): - all live births per 1,000 women aged 15 to 44",Total Fertility Rate (TFR),Percentage of live births - outside marriage or civil partnership,Percentage of live births under 2.5kg birthweight,Number of maternities,"Maternity Rate (Maternities per 1,000 women aged 15 to 44)",Number of maternities which took place at home,Percentage of maternities which took place at home
K02000001,UNITED KINGDOM,Country,692722,355006,337716,336705,356017,[x],[x],[x],10.3,53.6,1.54,51.4,[x],[x],[x],[x],[x]
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",Country,624828,320122,304706,304115,320713,228347,63356,29010,10.5,54.1,1.55,51.3,6.4,618848,53.6,15524,2.5
K04000001,ENGLAND AND WALES,Country,624729,320069,304660,304054,320675,228324,63347,29004,10.5,54.1,1.55,51.3,6.4,618735,53.6,15524,2.5
E92000001,ENGLAND,Country,595948,305288,290660,293271,302677,215491,59647,27539,10.5,54.3,1.56,50.8,6.4,590211,53.7,14485,2.5
E12000001,NORTH EAST,Region,25153,12889,12264,9103,16050,10699,3763,1588,9.5,51.9,1.52,63.8,6.5,24886,51.4,264,1.1
E06000047,County Durham,Unitary Authority,4592,2403,2189,1430,3162,2150,719,293,8.8,49.2,1.47,68.9,7.1,4532,48.6,58,1.3
E06000005,Darlington,Unitary Authority,1047,523,524,395,652,436,153,63,9.7,54.5,1.61,62.3,6.8,1037,53.9,19,1.8
E06000001,Hartlepool,Unitary Authority,932,480,452,223,709,437,201,71,10.1,55.4,1.62,76.1,7.5,931,55.3,13,1.4
E06000002,Middlesbrough,Unitary Authority,1729,878,851,636,1093,683,299,111,12,61.2,1.74,63.2,8.1,1715,60.7,16,0.9
E06000057,Northumberland,Unitary Authority,2586,1359,1227,985,1601,1188,273,140,8,52.8,1.59,61.9,4.8,2550,52,32,1.3
E06000003,Redcar and Cleveland,Unitary Authority,1281,672,609,319,962,631,234,97,9.4,56.5,1.68,75.1,5.8,1267,55.9,10,0.8
E06000004,Stockton-on-Tees,Unitary Authority,1871,906,965,685,1186,773,282,131,9.5,52.6,1.55,63.4,7.8,1856,52.2,15,0.8
E11000007,Tyne and Wear ,Metropolitan County,11115,5668,5447,4430,6685,4401,1602,682,9.9,50.7,1.47,60.1,6.1,10998,50.1,101,0.9
E08000037,Gateshead,Metropolitan District,1983,994,989,833,1150,762,278,110,10.1,55.6,1.6,58,6.8,1960,54.9,25,1.3
E08000021,Newcastle upon Tyne,Metropolitan District,2983,1554,1429,1406,1577,962,433,182,10,42.8,1.32,52.9,4.7,2953,42.4,30,1
E08000022,North Tyneside,Metropolitan District,2013,1024,989,852,1161,837,218,106,9.6,53.2,1.54,57.7,4.5,1987,52.5,20,1
E08000023,South Tyneside,Metropolitan District,1457,745,712,476,981,635,249,97,9.9,55.5,1.61,67.3,6.5,1442,54.9,10,0.7
E08000024,Sunderland,Metropolitan District,2679,1351,1328,863,1816,1205,424,187,9.8,53.6,1.55,67.8,8,2656,53.2,16,0.6
E12000002,NORTH WEST,Region,78127,39890,38237,34041,44086,30513,9490,4083,10.5,55.1,1.59,56.4,6.6,77458,54.6,1721,2.2
E06000008,Blackburn with Darwen,Unitary Authority,1945,1016,929,976,969,683,193,93,12.6,62.3,1.87,49.8,9.2,1933,61.9,28,1.4
E06000009,Blackpool,Unitary Authority,1423,729,694,343,1080,728,226,126,10.1,57.2,1.65,75.9,6,1408,56.6,19,1.3
E06000049,Cheshire East,Unitary Authority,3806,1996,1810,1873,1933,1545,223,165,9.5,57.1,1.65,50.8,5.9,3764,56.4,140,3.7
E06000050,Cheshire West and Chester,Unitary Authority,3297,1694,1603,1462,1835,1407,288,140,9.2,51.8,1.5,55.7,6.4,3261,51.2,141,4.3
E06000006,Halton,Unitary Authority,1355,698,657,401,954,623,242,89,10.5,56.8,1.67,70.4,6.3,1344,56.3,18,1.3
E06000007,Warrington,Unitary Authority,1932,954,978,859,1073,836,162,75,9.1,51,1.48,55.5,6.1,1907,50.3,56,2.9
E10000006,Cumbria,County,4173,2128,2045,1588,2585,2018,403,164,8.3,52.6,1.54,61.9,5.6,4147,52.3,70,1.7
E07000026,Allerdale,Non-metropolitan District,780,402,378,278,502,379,87,36,8.1,52.4,1.55,64.4,6.4,774,52,18,2.3
E07000027,Barrow-in-Furness,Non-metropolitan District,629,327,302,187,442,339,73,30,9.3,54.3,1.55,70.3,4.5,629,54.3,11,1.7
E07000028,Carlisle,Non-metropolitan District,1044,540,504,399,645,488,110,47,9.5,53.9,1.55,61.8,5.9,1042,53.8,12,1.2
E07000029,Copeland,Non-metropolitan District,591,298,293,191,400,301,71,28,8.8,55.7,1.61,67.7,6.1,583,54.9,4,0.7
E07000030,Eden,Non-metropolitan District,401,200,201,174,227,193,22,12,7.3,51,1.51,56.6,5,398,50.6,5,1.3
E07000031,South Lakeland,Non-metropolitan District,728,361,367,359,369,318,40,11,7,48.4,1.46,50.7,5.2,721,47.9,20,2.8
E11000001,Greater Manchester ,Metropolitan County,33445,17084,16361,16333,17112,11438,3977,1697,11.7,56.5,1.61,51.2,6.6,33174,56.1,582,1.8
E08000001,Bolton,Metropolitan District,3453,1787,1666,1744,1709,1168,379,162,11.7,61.2,1.79,49.5,8.3,3436,60.9,55,1.6
E08000002,Bury,Metropolitan District,2098,1053,1045,1110,988,716,178,94,10.8,58.1,1.68,47.1,6.1,2080,57.6,39,1.9
E08000003,Manchester,Metropolitan District,6776,3471,3305,3805,2971,1701,860,410,12.3,47.7,1.4,43.8,6.9,6730,47.4,102,1.5
E08000004,Oldham,Metropolitan District,3127,1582,1545,1631,1496,911,411,174,12.9,64.9,1.93,47.8,7.7,3102,64.4,81,2.6
E08000005,Rochdale,Metropolitan District,2746,1366,1380,1249,1497,943,412,142,12.3,62.5,1.83,54.5,6.4,2737,62.3,56,2
E08000006,Salford,Metropolitan District,3580,1850,1730,1647,1933,1244,505,184,13.2,57.2,1.56,54,6.2,3538,56.6,44,1.2
E08000007,Stockport,Metropolitan District,3227,1700,1527,1623,1604,1169,320,115,10.9,60,1.68,49.7,6.3,3192,59.4,66,2.1
E08000008,Tameside,Metropolitan District,2525,1266,1259,912,1613,1139,335,139,10.9,57,1.63,63.9,5.2,2503,56.5,30,1.2
E08000009,Trafford,Metropolitan District,2413,1226,1187,1433,980,713,192,75,10.2,54.6,1.58,40.6,5.9,2386,53.9,55,2.3
E08000010,Wigan,Metropolitan District,3500,1783,1717,1179,2321,1734,385,202,10.6,58.1,1.66,66.3,6.1,3470,57.6,54,1.6
E10000017,Lancashire,County,12035,6139,5896,5132,6903,5202,1146,555,9.7,54.2,1.61,57.4,7,11938,53.8,287,2.4
E07000117,Burnley,Non-metropolitan District,1053,528,525,399,654,458,129,67,11.1,58.8,1.7,62.1,8,1048,58.6,11,1
E07000118,Chorley,Non-metropolitan District,1081,582,499,456,625,486,94,45,9.2,53.6,1.58,57.8,5.6,1071,53.1,40,3.7
E07000119,Fylde,Non-metropolitan District,609,298,311,264,345,282,42,21,7.4,51.7,1.52,56.7,4.3,607,51.5,8,1.3
E07000120,Hyndburn,Non-metropolitan District,976,504,472,389,587,406,112,69,11.9,63.4,1.84,60.1,7.3,968,62.9,18,1.9
E07000121,Lancaster,Non-metropolitan District,1269,631,638,495,774,595,121,58,8.9,45.8,1.44,61,6.4,1260,45.5,17,1.3
E07000122,Pendle,Non-metropolitan District,1149,593,556,632,517,375,91,51,12,64,1.91,45,7.7,1140,63.5,14,1.2
E07000123,Preston,Non-metropolitan District,1796,903,893,862,934,669,184,81,12.2,57.3,1.66,52,9.1,1777,56.7,61,3.4
E07000124,Ribble Valley,Non-metropolitan District,498,258,240,252,246,218,19,9,8,52.4,1.57,49.4,5.4,489,51.5,23,4.7
E07000125,Rossendale,Non-metropolitan District,730,354,376,300,430,325,66,39,10.3,57.7,1.71,58.9,7.7,724,57.3,18,2.5
E07000126,South Ribble,Non-metropolitan District,1008,524,484,399,609,484,89,36,9.1,52.9,1.56,60.4,7.5,1004,52.7,42,4.2
E07000127,West Lancashire,Non-metropolitan District,1013,522,491,376,637,484,109,44,8.6,46.7,1.54,62.9,5.9,1007,46.4,24,2.4
E07000128,Wyre,Non-metropolitan District,853,442,411,308,545,420,90,35,7.6,50.9,1.5,63.9,5.6,843,50.3,11,1.3
E11000002,Merseyside ,Metropolitan County,14716,7452,7264,5074,9642,6033,2630,979,10.3,53.3,1.52,65.5,6.4,14582,52.8,380,2.6
E08000011,Knowsley,Metropolitan District,1986,1018,968,516,1470,901,416,153,12.8,64.5,1.79,74,7,1965,63.9,41,2.1
E08000012,Liverpool,Metropolitan District,5364,2692,2672,1997,3367,1949,1042,376,11.1,48.5,1.43,62.8,6.3,5317,48.1,134,2.5
E08000014,Sefton,Metropolitan District,2525,1294,1231,882,1643,1100,398,145,9,54.1,1.56,65.1,6.3,2499,53.5,79,3.2
E08000013,St. Helens,Metropolitan District,1817,944,873,609,1208,812,277,119,9.9,55,1.58,66.5,6.8,1802,54.5,44,2.4
E08000015,Wirral,Metropolitan District,3024,1504,1520,1070,1954,1271,497,186,9.4,55,1.61,64.6,6.2,2999,54.6,82,2.7
E12000003,YORKSHIRE AND THE HUMBER,Region,56377,28918,27459,24438,31939,22739,6130,3070,10.3,54.1,1.57,56.7,6.6,55972,53.7,1346,2.4
E06000011,East Riding of Yorkshire,Unitary Authority,2618,1324,1294,1195,1423,1154,171,98,7.6,51,1.52,54.4,6.2,2601,50.7,65,2.5
E06000010,"Kingston upon Hull, City of",Unitary Authority,3079,1572,1507,834,2245,1549,443,253,11.6,56.3,1.58,72.9,7.9,3053,55.8,58,1.9
E06000012,North East Lincolnshire,Unitary Authority,1501,792,709,396,1105,757,218,130,9.5,54.6,1.62,73.6,7.9,1493,54.3,29,1.9
E06000013,North Lincolnshire,Unitary Authority,1598,813,785,589,1009,782,141,86,9.4,56.2,1.67,63.1,6.4,1584,55.8,27,1.7
E06000014,York,Unitary Authority,1619,837,782,794,825,641,121,63,8,36.9,1.19,51,5.9,1605,36.6,40,2.5
E10000023,North Yorkshire,County,5133,2668,2465,2489,2644,2154,304,186,8.3,54.2,1.61,51.5,5.5,5077,53.6,113,2.2
E07000163,Craven,Non-metropolitan District,399,210,189,200,199,172,20,7,7,49.6,1.49,49.9,4.3,396,49.2,12,3
E07000164,Hambleton,Non-metropolitan District,691,351,340,361,330,282,26,22,7.6,52.5,1.55,47.8,4.6,686,52.1,8,1.2
E07000165,Harrogate,Non-metropolitan District,1356,725,631,765,591,492,62,37,8.3,52.8,1.59,43.6,5.2,1339,52.2,31,2.3
E07000166,Richmondshire,Non-metropolitan District,450,227,223,257,193,156,12,25,8.9,60,1.76,42.9,4.2,442,58.9,9,2
E07000167,Ryedale,Non-metropolitan District,412,219,193,199,213,175,28,10,7.5,51.6,1.53,51.7,4.4,406,50.9,20,4.9
E07000168,Scarborough,Non-metropolitan District,872,444,428,278,594,451,86,57,8,53.6,1.59,68.1,7.6,863,53,13,1.5
E07000169,Selby,Non-metropolitan District,953,492,461,429,524,426,70,28,10.3,59.5,1.71,55,6.3,945,59,20,2.1
E11000003,South Yorkshire,Metropolitan County,14391,7378,7013,5580,8811,6243,1771,797,10.5,54.2,1.55,61.2,7.1,14273,53.8,298,2.1
E08000016,Barnsley,Metropolitan District,2521,1259,1262,772,1749,1294,311,144,10.3,56.9,1.63,69.4,5.8,2504,56.6,37,1.5
E08000017,Doncaster,Metropolitan District,3333,1755,1578,1077,2256,1619,412,225,10.8,59.7,1.73,67.7,7.1,3301,59.1,60,1.8
E08000018,Rotherham,Metropolitan District,2814,1464,1350,972,1842,1317,373,152,10.6,57.9,1.69,65.5,7.9,2797,57.5,74,2.6
E08000019,Sheffield,Metropolitan District,5723,2900,2823,2759,2964,2013,675,276,10.3,49,1.44,51.8,7.4,5671,48.6,127,2.2
E11000006,West Yorkshire,Metropolitan County,26438,13534,12904,12561,13877,9459,2961,1457,11.3,55.6,1.61,52.5,6.4,26286,55.3,716,2.7
E08000032,Bradford,Metropolitan District,6828,3508,3320,3854,2974,1832,711,431,12.5,61.2,1.83,43.6,6.9,6791,60.9,177,2.6
E08000033,Calderdale,Metropolitan District,2143,1075,1068,921,1222,859,264,99,10.4,57.8,1.71,57,5.8,2132,57.5,77,3.6
